Number_of_Customers_Per_Day,Operating_Hours_Per_Day,Number_of_Employees,Location_Foot_Traffic,Date,Branch,Region,Average_Order_Value_KES,Marketing_Spend_KES,Daily_Revenue_KES
291,10,11,154,03/10/2020,Nyali Centre,Coast,1005.75,12216.15,277560
84,11,12,627,04/10/2020,JKIA Arrival,Nairobi,1243.35,34670.7,129339.45
264,8,6,492,05/10/2020,Kimathi Street,Nairobi CBD,982.8,56268,305629.2
386,14,6,824,06/10/2020,Kisumu Mega City,Western,958.5,45274.95,398117.7
139,17,3,98,07/10/2020,Capital Centre,Nairobi,405,23733,117004.5
313,15,8,577,08/10/2020,Thika Road Mall,Nairobi,862.65,63235.35,306702.45
142,11,14,194,09/10/2020,JKIA Arrival,Nairobi,490.05,61692.3,96090.3
459,9,9,389,10/10/2020,Valley Arcade,Nairobi,1084.05,15198.3,442590.75
139,17,11,811,11/10/2020,Thika Road Mall,Nairobi,855.9,3956.85,140614.65
467,12,14,904,12/10/2020,Valley Arcade,Nairobi,1026,50387.4,462393.9
164,13,2,403,13/10/2020,Kisumu Mega City,Western,379.35,56096.55,124694.1
154,14,3,124,14/10/2020,Valley Arcade,Nairobi,423.9,65373.75,179481.15
440,16,11,851,15/10/2020,Kimathi Street,Nairobi CBD,1062.45,60212.7,509471.1
245,11,5,978,16/10/2020,Kisumu Mega City,Western,410.4,41075.1,182580.75
363,11,6,843,17/10/2020,Galleria Mall,Nairobi,409.05,36413.55,133315.2
163,13,14,627,18/10/2020,Capital Centre,Nairobi,349.65,3191.4,47397.15
124,17,3,686,19/10/2020,Nyali Centre,Coast,1305.45,17666.1,208291.5
462,10,2,368,20/10/2020,Kimathi Street,Nairobi CBD,1084.05,31753.35,467951.85
425,8,10,136,21/10/2020,Valley Arcade,Nairobi,695.25,42925.95,358261.65
469,17,2,602,22/10/2020,Galleria Mall,Nairobi,637.2,38211.75,319916.25
266,8,14,747,23/10/2020,Capital Centre,Nairobi,691.2,50475.15,252907.65
326,11,5,915,24/10/2020,Capital Centre,Nairobi,1121.85,19857.15,393082.2
298,7,3,941,25/10/2020,Capital Centre,Nairobi,1007.1,38722.05,339792.3
213,11,12,896,26/10/2020,Kimathi Street,Nairobi CBD,525.15,7180.65,95478.75
443,11,5,827,27/10/2020,JKIA Arrival,Nairobi,514.35,28714.5,263318.85
406,13,9,832,28/10/2020,Kimathi Street,Nairobi CBD,437.4,50973.3,218417.85
457,12,9,91,29/10/2020,Kimathi Street,Nairobi CBD,1005.75,47218.95,491873.85
241,13,12,142,30/10/2020,Capital Centre,Nairobi,1111.05,66880.35,307507.05
276,14,13,746,31/10/2020,Kisumu Mega City,Western,606.15,19732.95,180952.65
226,11,10,776,01/11/2020,Nyali Centre,Coast,359.1,34304.85,156609.45
148,8,14,556,02/11/2020,Kisumu Mega City,Western,421.2,23148.45,82760.4
85,15,12,578,03/11/2020,JKIA Arrival,Nairobi,1317.6,30496.5,176071.05
145,8,13,314,04/11/2020,Valley Arcade,Nairobi,637.2,58037.85,253733.85
201,16,6,675,05/11/2020,Kisumu Mega City,Western,1116.45,46610.1,271098.9
200,17,8,341,06/11/2020,Kimathi Street,Nairobi CBD,969.3,59724,280643.4
239,6,4,513,07/11/2020,Valley Arcade,Nairobi,723.6,14812.2,190740.15
273,16,11,853,08/11/2020,Kisumu Mega City,Western,545.4,59123.25,228766.95
86,10,5,609,09/11/2020,JKIA Arrival,Nairobi,460.35,5302.8,64858.05
317,9,11,868,10/11/2020,Nyali Centre,Coast,959.85,60130.35,357342.3
418,14,10,146,11/11/2020,JKIA Arrival,Nairobi,1121.85,23118.75,438829.65
232,14,11,936,12/11/2020,Galleria Mall,Nairobi,989.55,22160.25,198647.1
62,10,11,144,13/11/2020,Capital Centre,Nairobi,874.8,35224.2,92395.35
328,15,13,375,14/11/2020,Kisumu Mega City,Western,379.35,63576.9,231688.35
266,9,2,123,15/11/2020,Thika Road Mall,Nairobi,1317.6,4510.35,296824.5
404,12,3,385,16/11/2020,Galleria Mall,Nairobi,1146.15,24649.65,460374.3
410,11,6,117,17/11/2020,JKIA Arrival,Nairobi,634.5,58012.2,317825.1
335,9,4,807,18/11/2020,Kisumu Mega City,Western,1329.75,27549.45,425484.9
322,15,3,967,19/11/2020,JKIA Arrival,Nairobi,946.35,14524.65,246006.45
418,7,2,126,20/11/2020,Capital Centre,Nairobi,927.45,29450.25,429879.15
111,6,11,257,21/11/2020,Capital Centre,Nairobi,1094.85,26854.2,163621.35
133,9,4,933,22/11/2020,Valley Arcade,Nairobi,1159.65,61904.25,303629.85
417,9,2,815,23/11/2020,Nyali Centre,Coast,1001.7,51752.25,482710.05
266,6,13,270,24/11/2020,JKIA Arrival,Nairobi,467.1,34763.85,200164.5
391,11,2,311,25/11/2020,Valley Arcade,Nairobi,680.4,66730.5,292296.6
446,9,13,459,26/11/2020,Kisumu Mega City,Western,1277.1,32128.65,513116.1
236,6,2,380,27/11/2020,Thika Road Mall,Nairobi,564.3,5202.9,128803.5
68,6,9,393,28/11/2020,Valley Arcade,Nairobi,714.15,18698.85,40755.15
226,6,4,820,29/11/2020,Nyali Centre,Coast,774.9,30195.45,184512.6
149,13,12,869,30/11/2020,JKIA Arrival,Nairobi,783,11728.8,190802.25
445,15,2,123,01/12/2020,Kisumu Mega City,Western,958.5,64031.85,512053.65
494,13,8,686,02/12/2020,Thika Road Mall,Nairobi,1291.95,52077.6,627254.55
282,7,11,749,03/12/2020,Kimathi Street,Nairobi CBD,581.85,19097.1,112433.4
452,16,4,303,04/12/2020,Nyali Centre,Coast,460.35,40431.15,220379.4
125,12,9,882,05/12/2020,Nyali Centre,Coast,537.3,49073.85,119013.3
314,13,5,869,06/12/2020,Kisumu Mega City,Western,1235.25,63616.05,435831.3
333,13,5,796,07/12/2020,Galleria Mall,Nairobi,990.9,59670,351943.65
255,16,6,811,08/12/2020,Capital Centre,Nairobi,626.4,35429.4,227408.85
272,15,7,381,09/12/2020,JKIA Arrival,Nairobi,1163.7,52593.3,344553.75
433,16,8,447,10/12/2020,Valley Arcade,Nairobi,1209.6,38535.75,546696
101,12,5,394,11/12/2020,Kisumu Mega City,Western,1194.75,37910.7,166923.45
388,10,9,633,12/12/2020,JKIA Arrival,Nairobi,1267.65,8939.7,481411.35
416,6,14,796,13/12/2020,Thika Road Mall,Nairobi,592.65,9694.35,230006.25
193,17,7,885,14/12/2020,Thika Road Mall,Nairobi,1101.6,36378.45,220941
422,14,2,717,15/12/2020,Capital Centre,Nairobi,803.25,19134.9,317614.5
118,12,2,504,16/12/2020,Kisumu Mega City,Western,1189.35,2741.85,114640.65
148,7,10,955,17/12/2020,JKIA Arrival,Nairobi,1074.6,49165.65,272628.45
445,11,11,164,18/12/2020,Galleria Mall,Nairobi,1123.2,3499.2,457155.9
74,7,7,362,19/12/2020,Galleria Mall,Nairobi,1001.7,40728.15,127930.05
485,6,11,277,20/12/2020,Kimathi Street,Nairobi CBD,517.05,37017,305032.5
428,12,9,883,21/12/2020,Nyali Centre,Coast,889.65,65437.2,440846.55
102,7,14,907,22/12/2020,Capital Centre,Nairobi,1335.15,33380.1,202922.55
200,7,8,294,23/12/2020,Valley Arcade,Nairobi,1286.55,5556.6,229867.2
193,16,13,867,24/12/2020,JKIA Arrival,Nairobi,380.7,37844.55,110106
106,10,7,575,25/12/2020,Kimathi Street,Nairobi CBD,504.9,56988.9,107183.25
88,10,5,577,26/12/2020,Capital Centre,Nairobi,471.15,67292.1,188204.85
158,12,8,999,27/12/2020,Kisumu Mega City,Western,1071.9,29817.45,195265.35
230,6,10,476,28/12/2020,Valley Arcade,Nairobi,1165.05,22538.25,243274.05
91,13,12,91,29/12/2020,Galleria Mall,Nairobi,553.5,61325.1,142634.25
235,8,11,514,30/12/2020,Kisumu Mega City,Western,849.15,14000.85,183045.15
472,9,11,671,31/12/2020,Capital Centre,Nairobi,1189.35,42060.6,557807.85
447,14,8,327,01/01/2021,Galleria Mall,Nairobi,1080,28188,485156.25
272,9,2,885,02/01/2021,Nyali Centre,Coast,886.95,4067.55,264293.55
171,15,11,68,03/01/2021,Thika Road Mall,Nairobi,935.55,24322.95,183208.5
182,17,10,115,04/01/2021,Galleria Mall,Nairobi,851.85,18894.6,148676.85
212,10,14,216,05/01/2021,Kimathi Street,Nairobi CBD,638.55,46734.3,178303.95
264,12,5,634,06/01/2021,Nyali Centre,Coast,909.9,64112.85,330085.8
270,9,4,452,07/01/2021,Valley Arcade,Nairobi,1035.45,19080.9,227360.25
284,6,5,961,08/01/2021,Nyali Centre,Coast,1221.75,55028.7,366669.45
380,14,5,871,09/01/2021,JKIA Arrival,Nairobi,981.45,5012.55,348915.6
195,9,14,458,10/01/2021,Kisumu Mega City,Western,1108.35,36946.8,203855.4
288,14,11,161,11/01/2021,Valley Arcade,Nairobi,499.5,6016.95,130057.65
125,11,12,323,12/01/2021,Kimathi Street,Nairobi CBD,804.6,63136.8,172309.95
58,6,3,456,13/01/2021,Thika Road Mall,Nairobi,346.95,52043.85,119867.85
123,17,13,422,14/01/2021,Kisumu Mega City,Western,587.25,44874,125562.15
491,8,2,646,15/01/2021,Valley Arcade,Nairobi,1073.25,55850.85,590086.35
450,16,13,700,16/01/2021,Kimathi Street,Nairobi CBD,1341.9,44182.8,611872.65
302,7,11,88,17/01/2021,Capital Centre,Nairobi,437.4,65445.3,265017.15
279,14,13,154,18/01/2021,Kisumu Mega City,Western,743.85,48578.4,222185.7
56,17,2,373,19/01/2021,Thika Road Mall,Nairobi,1147.5,62515.8,195270.75
223,6,14,842,20/01/2021,Kisumu Mega City,Western,544.05,35557.65,151426.8
190,14,9,463,21/01/2021,Capital Centre,Nairobi,899.1,9093.6,207183.15
217,14,3,478,22/01/2021,Thika Road Mall,Nairobi,1080,36289.35,297359.1
219,13,13,684,23/01/2021,Valley Arcade,Nairobi,961.2,9742.95,127066.05
442,13,11,779,24/01/2021,Kisumu Mega City,Western,527.85,40543.2,283730.85
483,16,6,938,25/01/2021,Galleria Mall,Nairobi,697.95,33266.7,380234.25
332,17,13,110,26/01/2021,Valley Arcade,Nairobi,1131.3,42533.1,437703.75
171,6,5,661,27/01/2021,Capital Centre,Nairobi,899.1,2014.2,109624.05
243,16,9,356,28/01/2021,Kimathi Street,Nairobi CBD,342.9,14238.45,112288.95
54,13,3,403,29/01/2021,Kimathi Street,Nairobi CBD,1108.35,33851.25,109910.25
78,15,11,442,30/01/2021,JKIA Arrival,Nairobi,372.6,64226.25,134144.1
214,8,10,253,31/01/2021,JKIA Arrival,Nairobi,1092.15,26725.95,277408.8
471,16,8,307,01/02/2021,JKIA Arrival,Nairobi,542.7,29421.9,305414.55
388,12,14,535,02/02/2021,Kimathi Street,Nairobi CBD,1308.15,48627,512041.5
185,16,8,566,03/02/2021,Kisumu Mega City,Western,710.1,41291.1,187334.1
414,6,2,495,04/02/2021,JKIA Arrival,Nairobi,668.25,21123.45,281785.5
370,6,13,758,05/02/2021,Kisumu Mega City,Western,488.7,28525.5,199062.9
391,15,3,229,06/02/2021,Thika Road Mall,Nairobi,646.65,15750.45,247299.75
194,10,5,391,07/02/2021,Kisumu Mega City,Western,1224.45,65252.25,316958.4
376,10,5,182,08/02/2021,Capital Centre,Nairobi,1345.95,9991.35,454203.45
266,13,12,492,09/02/2021,Kisumu Mega City,Western,710.1,25947,232760.25
350,12,4,885,10/02/2021,JKIA Arrival,Nairobi,791.1,3059.1,288056.25
181,13,8,302,11/02/2021,Capital Centre,Nairobi,1069.2,16020.45,176048.1
341,11,13,314,12/02/2021,Nyali Centre,Coast,1235.25,52978.05,494160.75
119,11,9,142,13/02/2021,Nyali Centre,Coast,938.25,14658.3,100369.8
301,7,3,711,14/02/2021,Valley Arcade,Nairobi,734.4,6646.05,233158.5
464,11,5,460,15/02/2021,Capital Centre,Nairobi,754.65,32734.8,399789
324,10,4,187,16/02/2021,Valley Arcade,Nairobi,1042.2,2008.8,304366.95
494,8,3,257,17/02/2021,Thika Road Mall,Nairobi,340.2,6957.9,139806
413,11,13,686,18/02/2021,Thika Road Mall,Nairobi,965.25,54774.9,425051.55
231,13,14,795,19/02/2021,Kimathi Street,Nairobi CBD,697.95,52382.7,233447.4
216,14,7,622,20/02/2021,Galleria Mall,Nairobi,1142.1,61886.7,367899.3
140,6,14,356,21/02/2021,Kimathi Street,Nairobi CBD,432,57875.85,95542.2
251,8,5,315,22/02/2021,Galleria Mall,Nairobi,932.85,46542.6,283251.6
395,8,7,695,23/02/2021,Nyali Centre,Coast,824.85,4811.4,298073.25
68,16,3,367,24/02/2021,Nyali Centre,Coast,988.2,53136,127855.8
88,13,13,162,25/02/2021,Capital Centre,Nairobi,403.65,57280.5,115708.5
175,6,5,950,26/02/2021,Capital Centre,Nairobi,924.75,54209.25,212322.6
222,10,12,427,27/02/2021,JKIA Arrival,Nairobi,905.85,34985.25,267031.35
190,8,7,503,28/02/2021,Thika Road Mall,Nairobi,904.5,16756.2,216051.3
291,7,6,240,01/03/2021,Capital Centre,Nairobi,949.05,57268.35,336838.5
269,13,4,940,02/03/2021,Thika Road Mall,Nairobi,1021.95,49451.85,317780.55
175,8,9,489,03/03/2021,Galleria Mall,Nairobi,1152.9,66226.95,267610.5
107,12,8,236,04/03/2021,Galleria Mall,Nairobi,610.2,11649.15,78673.95
197,17,4,880,05/03/2021,Capital Centre,Nairobi,1173.15,16278.3,282307.95
366,16,7,416,06/03/2021,Kimathi Street,Nairobi CBD,842.4,15360.3,297726.3
432,6,5,138,07/03/2021,JKIA Arrival,Nairobi,415.8,53775.9,219662.55
410,11,12,236,08/03/2021,Galleria Mall,Nairobi,396.9,13713.3,156286.8
472,8,6,868,09/03/2021,Kisumu Mega City,Western,676.35,5759.1,316295.55
50,13,12,995,10/03/2021,Kisumu Mega City,Western,1132.65,67404.15,132696.9
436,11,6,181,11/03/2021,Kisumu Mega City,Western,1054.35,2991.6,417303.9
397,17,8,921,12/03/2021,Kimathi Street,Nairobi CBD,1135.35,56601.45,503329.95
239,7,12,684,13/03/2021,Thika Road Mall,Nairobi,861.3,25519.05,206213.85
240,11,6,609,14/03/2021,Galleria Mall,Nairobi,783,57022.65,207022.5
418,12,12,849,15/03/2021,JKIA Arrival,Nairobi,487.35,38037.6,211469.4
458,10,4,425,16/03/2021,Kisumu Mega City,Western,669.6,60993,344312.1
361,8,11,740,17/03/2021,Thika Road Mall,Nairobi,777.6,62617.05,340389
466,9,6,741,18/03/2021,Valley Arcade,Nairobi,426.6,1952.1,183039.75
471,9,8,148,19/03/2021,JKIA Arrival,Nairobi,560.25,6338.25,269237.25
166,11,6,891,20/03/2021,JKIA Arrival,Nairobi,943.65,17911.8,134712.45
183,15,6,83,21/03/2021,JKIA Arrival,Nairobi,1082.7,45624.6,265071.15
107,6,10,981,22/03/2021,JKIA Arrival,Nairobi,1348.65,60108.75,210023.55
93,16,4,631,23/03/2021,Galleria Mall,Nairobi,1282.5,31774.95,106798.5
222,9,14,220,24/03/2021,Galleria Mall,Nairobi,988.2,41501.7,260061.3
209,15,7,415,25/03/2021,Kisumu Mega City,Western,764.1,13818.6,199994.4
222,9,2,833,26/03/2021,Thika Road Mall,Nairobi,981.45,54598.05,301834.35
366,15,11,108,27/03/2021,Kimathi Street,Nairobi CBD,1132.65,65338.65,469044
352,6,6,230,28/03/2021,Valley Arcade,Nairobi,457.65,19117.35,204055.2
198,14,9,68,29/03/2021,Kimathi Street,Nairobi CBD,751.95,34082.1,190310.85
129,9,6,275,30/03/2021,Kimathi Street,Nairobi CBD,1188,7047,174989.7
423,12,10,522,31/03/2021,Capital Centre,Nairobi,726.3,38337.3,289145.7
262,17,12,144,01/04/2021,Nyali Centre,Coast,916.65,34608.6,234318.15
252,8,7,930,02/04/2021,Galleria Mall,Nairobi,932.85,10903.95,247610.25
301,15,9,346,03/04/2021,Kisumu Mega City,Western,523.8,30592.35,229346.1
278,17,11,642,04/04/2021,Kisumu Mega City,Western,704.7,23450.85,222759.45
213,8,9,224,05/04/2021,Galleria Mall,Nairobi,676.35,35869.5,170032.5
276,13,14,271,06/04/2021,Valley Arcade,Nairobi,364.5,40090.95,127714.05
196,13,4,664,07/04/2021,JKIA Arrival,Nairobi,361.8,1911.6,58175.55
69,16,8,103,08/04/2021,Valley Arcade,Nairobi,1179.9,51690.15,183575.7
490,17,8,744,09/04/2021,Valley Arcade,Nairobi,614.25,48516.3,334409.85
451,6,11,912,10/04/2021,Capital Centre,Nairobi,862.65,25579.8,416808.45
96,15,13,452,11/04/2021,Nyali Centre,Coast,639.9,4851.9,80184.6
282,7,7,367,12/04/2021,Galleria Mall,Nairobi,1290.6,51289.2,450763.65
354,13,13,916,13/04/2021,Kimathi Street,Nairobi CBD,599.4,64535.4,293179.5
63,6,8,398,14/04/2021,Capital Centre,Nairobi,772.2,17235.45,68297.85
192,17,3,492,15/04/2021,Nyali Centre,Coast,1221.75,22751.55,274882.95
464,13,10,882,16/04/2021,Thika Road Mall,Nairobi,1189.35,13509.45,491684.85
50,13,11,629,17/04/2021,JKIA Arrival,Nairobi,526.5,39514.5,70976.25
422,7,11,589,18/04/2021,Kimathi Street,Nairobi CBD,1150.2,11592.45,408874.5
103,9,2,835,19/04/2021,Valley Arcade,Nairobi,801.9,24912.9,77838.3
423,11,2,331,20/04/2021,Capital Centre,Nairobi,826.2,47457.9,437652.45
308,17,4,409,21/04/2021,Thika Road Mall,Nairobi,472.5,38402.1,207272.25
193,16,4,964,22/04/2021,Valley Arcade,Nairobi,418.5,26914.95,76056.3
490,14,2,872,23/04/2021,Kisumu Mega City,Western,1074.6,29149.2,549883.35
61,13,13,680,24/04/2021,Thika Road Mall,Nairobi,839.7,38533.05,84898.8
379,17,8,941,25/04/2021,Capital Centre,Nairobi,780.3,1737.45,286071.75
273,13,5,695,26/04/2021,Capital Centre,Nairobi,1075.95,6543.45,291078.9
321,12,11,690,27/04/2021,Kimathi Street,Nairobi CBD,1112.4,59645.7,455795.1
407,14,14,57,28/04/2021,JKIA Arrival,Nairobi,498.15,6501.6,177705.9
457,7,3,612,29/04/2021,Kimathi Street,Nairobi CBD,955.8,48104.55,445290.75
205,8,11,540,30/04/2021,Nyali Centre,Coast,475.2,62210.7,108386.1
422,15,6,390,01/05/2021,Thika Road Mall,Nairobi,1098.9,19255.05,442956.6
57,13,7,521,02/05/2021,Valley Arcade,Nairobi,1003.05,25857.9,109826.55
171,11,10,842,03/05/2021,Kimathi Street,Nairobi CBD,1305.45,38983.95,282657.6
397,15,5,736,04/05/2021,Capital Centre,Nairobi,407.7,59675.4,268999.65
213,14,3,744,05/05/2021,Kisumu Mega City,Western,395.55,63656.55,179136.9
139,15,6,753,06/05/2021,Kisumu Mega City,Western,623.7,50272.65,167062.5
185,9,4,298,07/05/2021,Kisumu Mega City,Western,602.1,7079.4,112707.45
235,13,3,284,08/05/2021,Nyali Centre,Coast,587.25,45615.15,211727.25
365,15,13,132,09/05/2021,Valley Arcade,Nairobi,1255.5,28491.75,429945.3
227,8,2,142,10/05/2021,Nyali Centre,Coast,589.95,32486.4,131228.1
77,8,11,934,11/05/2021,Galleria Mall,Nairobi,612.9,4600.8,26998.65
269,13,3,443,12/05/2021,Nyali Centre,Coast,1107,13988.7,294754.95
406,10,7,873,13/05/2021,JKIA Arrival,Nairobi,792.45,53642.25,334913.4
90,8,9,317,14/05/2021,Galleria Mall,Nairobi,1124.55,31379.4,121059.9
277,15,14,466,15/05/2021,Thika Road Mall,Nairobi,403.65,21304.35,116351.1
241,16,4,681,16/05/2021,Galleria Mall,Nairobi,831.6,26752.95,241612.2
460,6,12,632,17/05/2021,Galleria Mall,Nairobi,371.25,57869.1,258323.85
496,8,10,578,18/05/2021,Thika Road Mall,Nairobi,400.95,50896.35,257231.7
194,17,13,302,19/05/2021,JKIA Arrival,Nairobi,1255.5,19363.05,260433.9
250,14,10,171,20/05/2021,JKIA Arrival,Nairobi,477.9,9123.3,133924.05
466,10,3,941,21/05/2021,Kisumu Mega City,Western,876.15,18019.8,384669
261,17,9,59,22/05/2021,Nyali Centre,Coast,753.3,62257.95,255690
269,15,11,848,23/05/2021,Kimathi Street,Nairobi CBD,689.85,39822.3,268236.9
289,7,12,365,24/05/2021,Kimathi Street,Nairobi CBD,1248.75,36640.35,312553.35
462,12,13,887,25/05/2021,Kisumu Mega City,Western,359.1,40801.05,190499.85
446,7,6,322,26/05/2021,Kimathi Street,Nairobi CBD,1009.8,25562.25,438174.9
95,9,5,355,27/05/2021,Capital Centre,Nairobi,1313.55,54739.8,209537.55
84,17,11,854,28/05/2021,Galleria Mall,Nairobi,904.5,35965.35,152987.4
302,12,6,259,29/05/2021,Nyali Centre,Coast,1286.55,9073.35,413426.7
439,9,5,779,30/05/2021,Galleria Mall,Nairobi,390.15,9887.4,166503.6
131,12,9,802,31/05/2021,Valley Arcade,Nairobi,761.4,36863.1,144396
420,12,5,935,01/06/2021,Valley Arcade,Nairobi,600.75,63304.2,331830
305,6,14,513,02/06/2021,Capital Centre,Nairobi,1077.3,21747.15,313999.2
246,11,11,761,03/06/2021,Kisumu Mega City,Western,1331.1,58870.8,351037.8
352,14,13,777,04/06/2021,Valley Arcade,Nairobi,596.7,51895.35,264278.7
458,7,14,766,05/06/2021,Galleria Mall,Nairobi,1000.35,17743.05,459083.7
499,8,7,974,06/06/2021,Galleria Mall,Nairobi,538.65,3754.35,240980.4
59,15,3,465,07/06/2021,Thika Road Mall,Nairobi,909.9,8087.85,71610.75
361,10,6,265,08/06/2021,Thika Road Mall,Nairobi,807.3,49539.6,286143.3
335,14,7,129,09/06/2021,Galleria Mall,Nairobi,1321.65,14558.4,420812.55
291,9,6,828,10/06/2021,Kimathi Street,Nairobi CBD,953.1,25909.2,277587
300,6,13,529,11/06/2021,Kisumu Mega City,Western,691.2,34537.05,204001.2
414,9,3,951,12/06/2021,Kimathi Street,Nairobi CBD,453.6,49339.8,260766
54,11,8,940,13/06/2021,Kisumu Mega City,Western,490.05,8839.8,86908.95
168,10,5,596,14/06/2021,Nyali Centre,Coast,565.65,28231.2,154602
338,6,9,850,15/06/2021,Capital Centre,Nairobi,591.3,33438.15,258481.8
423,9,8,67,16/06/2021,Thika Road Mall,Nairobi,1198.8,37126.35,531310.05
114,11,8,214,17/06/2021,Kisumu Mega City,Western,905.85,55485,193622.4
195,15,10,574,18/06/2021,Kisumu Mega City,Western,868.05,12706.2,122817.6
273,15,2,251,19/06/2021,Kisumu Mega City,Western,453.6,54788.4,190177.2
288,9,11,790,20/06/2021,Thika Road Mall,Nairobi,1208.25,47183.85,397688.4
226,14,7,395,21/06/2021,Kisumu Mega City,Western,1069.2,38121.3,289005.3
316,10,7,415,22/06/2021,Galleria Mall,Nairobi,406.35,47623.95,221337.9
390,13,7,497,23/06/2021,Galleria Mall,Nairobi,1054.35,28605.15,385110.45
331,14,14,562,24/06/2021,Valley Arcade,Nairobi,888.3,10504.35,296777.25
112,15,13,368,25/06/2021,Nyali Centre,Coast,419.85,45389.7,81649.35
266,10,7,266,26/06/2021,Kisumu Mega City,Western,801.9,36057.15,240344.55
391,11,13,83,27/06/2021,JKIA Arrival,Nairobi,828.9,43644.15,355483.35
364,6,11,920,28/06/2021,JKIA Arrival,Nairobi,504.9,23708.7,224257.95
332,16,8,315,29/06/2021,Valley Arcade,Nairobi,1294.65,61338.6,498962.7
226,17,11,689,30/06/2021,JKIA Arrival,Nairobi,1197.45,40204.35,307116.9
466,12,7,773,01/07/2021,Kisumu Mega City,Western,1015.2,6999.75,378170.1
147,9,2,824,02/07/2021,JKIA Arrival,Nairobi,805.95,31104,165294
154,16,4,873,03/07/2021,Nyali Centre,Coast,754.65,51382.35,174440.25
148,7,3,129,04/07/2021,Thika Road Mall,Nairobi,996.3,53882.55,251109.45
434,10,7,726,05/07/2021,JKIA Arrival,Nairobi,889.65,34067.25,429742.8
454,17,9,462,06/07/2021,JKIA Arrival,Nairobi,400.95,60538.05,229308.3
360,8,4,301,07/07/2021,Kimathi Street,Nairobi CBD,855.9,19056.6,321614.55
55,11,11,61,08/07/2021,Kimathi Street,Nairobi CBD,1154.25,28510.65,116152.65
246,13,9,450,09/07/2021,Valley Arcade,Nairobi,801.9,60791.85,283016.7
400,12,9,865,10/07/2021,JKIA Arrival,Nairobi,390.15,60637.95,242199.45
182,8,6,773,11/07/2021,Valley Arcade,Nairobi,1134,46710,272828.25
407,13,9,331,12/07/2021,Kimathi Street,Nairobi CBD,541.35,58171.5,326093.85
308,7,7,161,13/07/2021,Capital Centre,Nairobi,599.4,7222.5,162099.9
486,15,6,772,14/07/2021,Galleria Mall,Nairobi,504.9,58569.75,284241.15
72,14,10,427,15/07/2021,Nyali Centre,Coast,672.3,22558.5,98536.5
102,9,8,800,16/07/2021,Capital Centre,Nairobi,1104.3,13146.3,70243.2
214,6,9,317,17/07/2021,JKIA Arrival,Nairobi,864,17184.15,209841.3
251,13,2,966,18/07/2021,Galleria Mall,Nairobi,545.4,28998,179579.7
132,12,12,347,19/07/2021,Capital Centre,Nairobi,1225.8,17965.8,109244.7
194,16,3,366,20/07/2021,Kisumu Mega City,Western,1228.5,22555.8,231148.35
134,10,9,619,21/07/2021,Kisumu Mega City,Western,1219.05,10278.9,204986.7
127,15,13,558,22/07/2021,Nyali Centre,Coast,579.15,20942.55,58267.35
415,10,10,999,23/07/2021,Nyali Centre,Coast,793.8,39206.7,361034.55
50,12,5,595,24/07/2021,Galleria Mall,Nairobi,1335.15,30578.85,78817.05
100,10,13,824,25/07/2021,JKIA Arrival,Nairobi,1119.15,24285.15,118010.25
222,13,11,414,26/07/2021,Kimathi Street,Nairobi CBD,364.5,50727.6,200658.6
254,16,12,596,27/07/2021,Galleria Mall,Nairobi,403.65,60455.7,186290.55
309,11,11,320,28/07/2021,Thika Road Mall,Nairobi,807.3,51412.05,315585.45
495,10,10,523,29/07/2021,Kimathi Street,Nairobi CBD,1258.2,23311.8,592459.65
498,14,5,788,30/07/2021,Kimathi Street,Nairobi CBD,882.9,50595.3,430699.95
418,16,11,586,31/07/2021,JKIA Arrival,Nairobi,841.05,11403.45,301515.75
337,7,11,283,01/08/2021,Capital Centre,Nairobi,444.15,9971.1,181484.55
83,6,11,108,02/08/2021,Capital Centre,Nairobi,1003.05,24213.6,115376.4
397,13,10,300,03/08/2021,Kisumu Mega City,Western,1170.45,54778.95,479572.65
144,17,12,896,04/08/2021,Galleria Mall,Nairobi,722.25,17645.85,119476.35
121,8,8,135,05/08/2021,Nyali Centre,Coast,1123.2,5533.65,148479.75
88,16,3,812,06/08/2021,Thika Road Mall,Nairobi,1313.55,10062.9,131398.2
203,17,10,439,07/08/2021,Nyali Centre,Coast,544.05,58156.65,165848.85
299,17,5,229,08/08/2021,Galleria Mall,Nairobi,866.7,43274.25,255607.65
211,17,9,768,09/08/2021,Galleria Mall,Nairobi,627.75,18099.45,135368.55
487,12,8,905,10/08/2021,Capital Centre,Nairobi,1140.75,38082.15,587058.3
167,15,14,198,11/08/2021,Nyali Centre,Coast,922.05,36248.85,216025.65
308,16,8,632,12/08/2021,Capital Centre,Nairobi,980.1,44706.6,349824.15
428,13,9,170,13/08/2021,Valley Arcade,Nairobi,1144.8,16775.1,461525.85
355,11,2,814,14/08/2021,Thika Road Mall,Nairobi,738.45,58530.6,309779.1
317,17,6,654,15/08/2021,Valley Arcade,Nairobi,1263.6,21814.65,389114.55
498,15,3,305,16/08/2021,JKIA Arrival,Nairobi,877.5,47266.2,485302.05
103,14,3,815,17/08/2021,Nyali Centre,Coast,496.8,2416.5,76952.7
285,12,2,913,18/08/2021,Capital Centre,Nairobi,1042.2,26001,299257.2
438,15,6,849,19/08/2021,Kisumu Mega City,Western,1140.75,24615.9,555086.25
271,10,3,358,20/08/2021,Galleria Mall,Nairobi,658.8,37301.85,219129.3
